title,abstract,science_field,collaborators,journal_name,evaluation,novelty,rigor,grammar,replicability,accessibility,mathematics,computer_and_information_sciences,physical_sciences,chemical_sciences,earth_and_related_environmental_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
Evaluation of the Stability of DNA i-Motifs in the Nuclei of Living Mammalian Cells,"C-rich DNA has the capacity to form a tetra-stranded structure known as an i-motif. The i-motifs within genomic DNA have been proposed to contribute to the regulation of DNA transcription. However, direct experimental evidence for the existence of these structures invivo has been missing. Whether i-motif structures form in complex environment of living cells is not currently known. Herein, using state-of-the-art in-cell NMR spectroscopy, we evaluate the stabilities of i-motif structures in the complex cellular environment. We show that i-motifs formed from naturally occurring C-rich sequences in the human genome are stable and persist in the nuclei of living human cells. Our data show that i-motif stabilities invivo are generally distinct from those invitro. Our results are the first to interlink the stability of DNA i-motifs invitro with their stability invivo and provide essential information for the design and development of i-motif-based DNA biosensors for intracellular applications.",10608.0,"Džatko, Šimon:Krafčíková, Michaela:Hansel-Hertsch, R.:Fessl, T.:Fiala, Radovan:Loja, Tomáš:Krafčík, Daniel:Mergny, J.L.:Trantírková, Silvie:Trantírek, Lukáš",Angewandte Chemie International Edition,1,high,high,0,1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectroscopic and Computational Evidence of Intramolecular AuI⋅⋅⋅H+−N Hydrogen Bonding,"Despite substantial evidence of short Au⋅⋅⋅H−X contacts derived from a number of X‐ray structures of AuI compounds, the nature of AuI⋅⋅⋅H bonding in these systems has not been clearly understood. Herein, we present the first spectroscopic evidence for an intramolecular AuI⋅⋅⋅H+−N hydrogen bond in a [Cl−Au−L]+ complex, where L is a protonated N‐heterocyclic carbene. The complex was isolated in the gas phase and characterized with helium‐tagging infrared photodissociation (IRPD) spectra, in which H+−N‐mode‐derived bands evidence the intramolecular AuI⋅⋅⋅H+−N bond. Quantum chemical calculations reproduce the experimental IRPD spectra and allow to characterize the intramolecular Au⋅⋅⋅H+−N bonding with a short rAu⋅⋅⋅H distance of 2.17 Å and an interaction energy of approximately −10 kcal mol−1. Various theoretical descriptors of chemical bonding calculated for the Au⋅⋅⋅H+−N interaction provide strong evidence for a hydrogen bond of moderate strength.",10403.0,"Straka, Michal:Andris, E.:Vícha, J.:Růžička, A.:Roithová, J.:Rulíšek, Lubomír",Angewandte Chemie - International Edition,1,medium,medium,0,1,medium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toll-like receptor signaling in thymic epithelium controls monocyte-derived dendritic cell recruitment and Treg generation,"The development of thymic regulatory T cells (Treg) is mediated by Aire-regulated self-antigen presentation on medullary thymic epithelial cells (mTECs) and dendritic cells (DCs), but the cooperation between these cells is still poorly understood. Here we show that signaling through Toll-like receptors (TLR) expressed on mTECs regulates the production of specific chemokines and other genes associated with post-Aire mTEC development. Using single-cell RNA-sequencing, we identify a new thymic CD14(+)Sirp alpha (+) population of monocyte-derived dendritic cells (CD14(+)moDC) that are enriched in the thymic medulla and effectively acquire mTEC-derived antigens in response to the above chemokines. Consistently, the cellularity of CD14(+)moDC is diminished in mice with MyD88-deficient TECs, in which the frequency and functionality of thymic CD25(+)Foxp3(+) Tregs are decreased, leading to aggravated mouse experimental colitis. Thus, our findings describe a TLR-dependent function of mTECs for the recruitment of CD14(+)moDC, the generation of Tregs, and thereby the establishment of central tolerance. Immune tolerance is mediated by the deletion of autoreactive T cells via medullary thymic epithelial cells (mTEC) and dendritic cells (DC), and by the induction of regulatory T cells (Treg). Here the authors show that mTEC receiving toll-like receptor signaling control the recruitment of CD14(+)Sirp alpha (+) DC population that is capable of inducing Treg for establishing tolerance.",30102.0,"Vobořil, Matouš:Brabec, Tomáš:Dobeš, Jan:Šplíchalová, Iva:Březina, Jiří:Čepková, Adéla:Dobešová, Martina:Aidarova, Aigerim:Kubovčiak, Jan:Tsyklauri, Oksana:Štěpánek, Ondřej:Beneš, V.:Sedláček, Radislav:Klein, L.:Kolář, Michal:Filipp, Dominik",Nature Communications,1,high,high,0,1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Differences in midlatitude ionospheric response to magnetic disturbances at northern and southern hemispheres and anomalous response during the last extreme solar minimum,"In order to give users reliable information/warning of changing space weather conditions that may affect a diverse range of technological systems, thoroughgoing knowledge of disturbed ionosphere behavior and its solar activity, local time, seasonal, latitudinal/longitudinal dependence, as well as possible hemispherical asymmetries are needed. Here investigations of differences in ionospheric effects are based on data obtained at different magnetic latitudes and longitudes of both hemispheres. Variability of main ionospheric parameters (foF2 and hmF2), obtained for Euro‐African and American sectors for geomagnetic storms of different intensity, which occurred within solar cycles 23 and 24, is analyzed. Ionospheric response to weak geomagnetic storms during the declining phase of the 23rd solar cycle and deep 23/24 solar minimum is found to be comparable with or even slightly stronger than that of strong storms under higher solar activity conditions, which might be partly related to specific impact of different drivers of geomagnetic activity. Hemispheric asymmetry of ionospheric response at middle latitudes, on average, is not a dominant and/or strong feature. The asymmetry in individual events may be well pronounced both in foF2 and hmF2, but mostly it seems to be an impact of other factors like seasonal variation, magnetic coordinates, or local time.",10509.0,"Burešová, Dalia:Laštovička, Jan",Ionospheric Space Weather: Longitude Dependence and Lower Atmosphere Forcing,1,low,medium,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Is academic tracking related to gains in learning competence? Using propensity score matching and differential item change functioning analysis for better understanding of tracking implications,"This study analyzes gains in cognitive components of learning competence with respect to cohorts based on ability tracking in a Czech longitudinal study. Propensity score matching is used to form parallelized samples of academic and non-academic track students and to eliminate the effect of selective school intake. We applied regression models on the total scores to test for the overall track effect. Furthermore, we analyze scores and gains on the subscores and check for differential item functioning in Grade 6 and in change to Grade 9. While after 3 years, no significant difference between the two tracks was apparent in the total learning competence score, we did, however, find significant differences in some subscores and in the functioning of some items. We argue that item-level analysis is important for deeper understanding of the tracking implications and may provide the basis for more precise evidence-based decisions regarding the tracking policy.",50301.0,"Martinková, Patrícia:Hladká, Adéla:Potužníková, Eva",Learning and Instruction,1,medium,medium,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Hormonomics: Multiple Phytohormone Profiling by Targeted Metabolomics,"Phytohormones are physiologically important small molecules that play essential roles in intricate signaling networks that regulate diverse processes in plants. We present a method for the simultaneous targeted profiling of 101 phytohormone-related analytes from minute amounts of fresh plant material (less than 20 mg). Rapid and nonselective extraction, fast one-step sample purification, and extremely sensitive ultra-high-performance liquid chromatography-tandem mass spectrometry enable concurrent quantification of the main phytohormone classes: cytokinins, auxins, brassinosteroids, gibberellins, jasmonates, salicylates, and abscisates. We validated this hormonomic approach in salt-stressed and control Arabidopsis (Arabidopsis thaliana) seedlings, quantifying a total of 43 endogenous compounds in both root and shoot samples. Subsequent multivariate statistical data processing and cross-validation with transcriptomic data highlighted the main hormone metabolites involved in plant adaptation to salt stress.",10611.0,"Šimura, Jan:Antoniadi, I.:Široká, Jitka:Tarkowská, Danuše:Strnad, Miroslav:Ljung, K.:Novák, Ondřej",Plant Physiology,1,medium,high,0,1,medium,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Chronology of the Kašperské Hory orogenic gold deposit, Bohemian Massif, Czech Republic","The Kašperské Hory deposit represents one of the economically most important hydrothermal gold deposits in the Bohemian Massif (Czech Republic). We present new Re–Os age determinations for sulfides complemented by Ar–Ar determinations on silicate minerals in order to provide temporal constraints on the deposit formation. Arsenopyrite and molybdenite formed during gold-bearing stages I–III yielded similar Re–Os ages between ~ 341 and 333 Ma, overlapping with the Ar–Ar cooling age of the metamorphic host rocks below ~ 500 °C. Continuous cooling of the ore system below 270 °C during stage III is reflected by Ar–Ar muscovite ages spanning from ~ 332 to 325 Ma representing the long interval of formation of gold-productive stage III. Thus, the Kašperské Hory gold deposit is younger than the gold deposits spatially associated with the Central Bohemian Plutonic Complex (~ 349–339 Ma) belonging to the Central Bohemian Metallogenetic Zone (e.g., Mokrsko-West, Jílové, Petráčkova Hora). This may indicate a rather close relationship to the nearby Moldanubian Batholith while still suggesting an intimate link between mineralization and Variscan orogenesis and associated magmatism.",10505.0,"Ackerman, Lukáš:Žák, Karel:Haluzová, Eva:Creaser, R. A.:Svojtka, Martin:Pašava, J.:Veselovský, F.",Mineralium deposita,1,low,high,0,0,medium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unique double concentric ring organization of light harvesting complexes in Gemmatimonas phototrophica,"The majority of life on Earth depends directly or indirectly on the sun as a source of energy. The initial step of photosynthesis is facilitated by light-harvesting complexes, which capture and transfer light energy into the reaction centers (RCs). Here, we analyzed the organization of photosynthetic (PS) complexes in the bacterium G. phototrophica, which so far is the only phototrophic representative of the bacterial phylum Gemmatimonadetes. The isolated complex has a molecular weight of about 800 +/- 100 kDa, which is approximately 2 times larger than the core complex of Rhodospirillum rubrum. The complex contains 62.4 +/- 4.7 bacteriochlorophyll (BChl) a molecules absorbing in 2 distinct infrared absorption bands with maxima at 816 and 868 nm. Using femtosecond transient absorption spectroscopy, we determined the energy transfer time between these spectral bands as 2 ps. Single particle analyses of the purified complexes showed that they were circular structures with an outer diameter of approximately 18 nm and a thickness of 7 nm. Based on the obtained, we propose that the LH complexes in G. phototrophica form 2 concentric rings surrounding the type 2 RC. The inner ring (corresponding to the B868 absorption band) is composed of 15 subunits and is analogous to the inner light-harvesting complex 1 (LH1) in purple bacteria. The outer ring is composed of 15 more distant BChl dimers with no or slow energy transfer between them, resulting in the B816 absorption band. This completely unique and elegant organization offers good structural stability, as well as high efficiency of light harvesting. Our results reveal that while the PS apparatus of Gemmatimonadetes was acquired via horizontal gene transfer from purple bacteria, it later evolved along its own pathway, devising a new arrangement of its light harvesting complexes.",10610.0,"Dachev, Marko:Bína, David:Sobotka, Roman:Moravcová, Lenka:Gardian, Zdenko:Kaftan, David:Šlouf, V.:Fuciman, M.:Polívka, Tomáš:Koblížek, Michal",PLOS BIOLOGY,1,high,high,0,1,medium,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Alcohol-abuse drug disulfiram targets cancer via p97 segregase adaptor NPL4,"Cancer incidence is rising and this global challenge is further exacerbated by tumour resistance to available medicines. A promising approach to meet the need for improved cancer treatment is drug repurposing. Here we highlight the potential for repurposing disulfiram (also known by the trade name Antabuse), an old alcohol-aversion drug that has been shown to be effective against diverse cancer types in preclinical studies.",10608.0,"Škrott, Zdeněk:Mistrík, Martin:Andersen, Klaus Kaae:Friis, SØren:Majera, Dušana:Gurský, Ján:Oždian, Tomáš:Bártková, Jiřina:Turi, Zsófia:Moudrý, Pavel:Kraus, Marianne:Michalová, Martina:Václavková, Jana:Džubák, Petr:Vrobel, Ivo:Poucková, Pavla:Sedláček, Jindřich:Miklovičová, Andrea:Kutt, Anne:Li, Jing:Mattová, Jana:Driessen, Christoph:Dou, Ping Q.:Olsen, JØrgen:Hajdúch, Marián:Cvek, Boris:Deshaies, Raymond J.:Bártek, Jiří",Nature,1,medium,medium,0,0,medium,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limits of Abductivism About Logic,"I argue against abductivism about logic, which is the view that rational theory choice in logic happens by abduction. Abduction cannot serve as a neutral arbiter in many foundational disputes in logic because, in order to use abduction, one must first identify the relevant data. Which data one deems relevant depends on what I call one&apos,s conception of logic. One&apos,s conception of logic is, however, not independent of one&apos,s views regarding many of the foundational disputes that one may hope to solve by abduction.",60301.0,"Hlobil, Ulf",Philosophy and Phenomenological Research,1,low,medium,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
